scenario,origin,destination,path,latency_ms,bottleneck_mbps,analytic_reliability,simulated_availability,latency_only_path,latency_only_reliability
baseline,Kyiv,Berlin,Kyiv -> Lviv -> Berlin,39.000,920.000,0.948660,0.949600,Kyiv -> Lviv -> Berlin,0.948660
baseline,Odessa,Warsaw,Odessa -> Lviv -> Warsaw,38.000,760.000,0.948612,0.947200,Odessa -> Lviv -> Warsaw,0.948612
maintenance,Kyiv,Berlin,Kyiv -> Lviv -> Berlin,39.000,920.000,0.948660,0.946600,Kyiv -> Lviv -> Berlin,0.948660
maintenance,Dnipro,Warsaw,Dnipro -> Kharkiv -> Warsaw,36.000,720.000,0.947570,0.946000,Dnipro -> Kharkiv -> Warsaw,0.947570
peak,Kharkiv,Berlin,Kharkiv -> Dnipro -> Berlin,44.000,480.000,0.941660,0.944000,Kharkiv -> Dnipro -> Berlin,0.941660
peak,Odessa,Berlin,Odessa -> Lviv -> Berlin,45.000,570.000,0.944748,0.945000,Odessa -> Lviv -> Berlin,0.944748
